1,&#xE63E;,44,Gj
2,&#xE63F;,107,Gi
3,&#xE640;,95,Gk
4,&#xE641;,191,Gh
5,&#xE642;,16,E]
6,&#xE643;,190,Pc
7,&#xE644;,305,［霧］
8,&#xE645;,481,P\
9,&#xE646;,192,F_
10,&#xE647;,193,F`
11,&#xE648;,194,Fa
12,&#xE649;,195,Fb
13,&#xE64A;,196,Fc
14,&#xE64B;,197,Fd
15,&#xE64C;,198,Fe
16,&#xE64D;,199,Ff
17,&#xE64E;,200,Fg
18,&#xE64F;,201,Fh
19,&#xE650;,202,Fi
20,&#xE651;,203,Fj
21,&#xE652;,218,〓
22,&#xE653;,45,G6
23,&#xE654;,306,G4
24,&#xE655;,220,G5
25,&#xE656;,219,G8
26,&#xE657;,421,G3
27,&#xE658;,307,PJ
28,&#xE659;,222,ER
29,&#xE65A;,308,［ポケベル］
30,&#xE65B;,172,G>
31,&#xE65C;,341,PT
32,&#xE65D;,217,PU
33,&#xE65E;,125,G;
34,&#xE65F;,125,PN
35,&#xE660;,216,Ey
36,&#xE661;,379,F
37,&#xE662;,168,G=
38,&#xE663;,112,GV
39,&#xE664;,156,GX
40,&#xE665;,375,Es
41,&#xE666;,376,Eu
42,&#xE667;,212,Em
43,&#xE668;,205,Et
44,&#xE669;,378,Ex
45,&#xE66A;,206,Ev
46,&#xE66B;,213,GZ
47,&#xE66C;,208,Eo
48,&#xE66D;,99,En
49,&#xE66E;,207,Eq
50,&#xE66F;,146,Gc
51,&#xE670;,93,Ge
52,&#xE671;,52,Gd
53,&#xE672;,65,Gg
54,&#xE673;,245,E@
55,&#xE674;,124,E^
56,&#xE675;,104,O3
57,&#xE676;,289,G\
58,&#xE677;,110,G]
59,&#xE678;,70,FV
60,&#xE679;,223,〓
61,&#xE67A;,294,O*
62,&#xE67B;,309,Q
63,&#xE67C;,494,Q#
64,&#xE67D;,311,〓
65,&#xE67E;,106,EE
66,&#xE67F;,176,O.
67,&#xE680;,177,F(
68,&#xE681;,94,G(
69,&#xE682;,83,OC
70,&#xE683;,122,Eh
71,&#xE684;,312,O4
72,&#xE685;,144,E2
73,&#xE686;,313,Ok
74,&#xE687;,85,G)
75,&#xE688;,161,G*
76,&#xE689;,56,O!
77,&#xE68A;,288,EJ
78,&#xE68B;,232,［ゲーム］
79,&#xE68C;,300,EF
80,&#xE68D;,414,F
81,&#xE68E;,314,F.
82,&#xE68F;,315,F-
83,&#xE690;,316,F/
84,&#xE691;,317,P9
85,&#xE692;,318,P;
86,&#xE693;,817,G0
87,&#xE694;,319,G1
88,&#xE695;,320,G2
89,&#xE696;,43,FX
90,&#xE697;,42,FW
91,&#xE698;,728,QV
92,&#xE699;,729,G'
93,&#xE69A;,116,［メガネ］
94,&#xE69B;,178,F*
95,&#xE69C;,321,●
96,&#xE69D;,322,Gl
97,&#xE69E;,323,Gl
98,&#xE69F;,15,Gl
99,&#xE6A0;,47,○
100,&#xE6A1;,134,Gr
101,&#xE6A2;,251,Go
102,&#xE6A3;,169,G<
103,&#xE6A4;,234,GS
104,&#xE6A5;,71,FY
105,&#xE6CE;,513,E$
106,&#xE6CF;,784,E#
107,&#xE6D0;,166,G+
108,&#xE6D1;,［ｉモード］,［ｉモード］
109,&#xE6D2;,［ｉモード］,［ｉモード］
110,&#xE6D3;,108,E#
111,&#xE6D4;,［ドコモ］,［ドコモ］
112,&#xE6D5;,［ドコモポイント］,［ドコモポイント］
113,&#xE6D6;,109,￥
114,&#xE6D7;,299,［ＦＲＥＥ］
115,&#xE6D8;,385,FI
116,&#xE6D9;,120,G_
117,&#xE6DA;,118,〓
118,&#xE6DB;,324,［ＣＬ］
119,&#xE6DC;,119,E4
120,&#xE6DD;,334,F2
121,&#xE6DE;,730,〓
122,&#xE6DF;,［フリーダイヤル］,F1
123,&#xE6E0;,818,F0
124,&#xE6E1;,4,［Ｑ］
125,&#xE6E2;,180,F<
126,&#xE6E3;,181,F=
